2023-2024 Season Weekly Team Prediction
---------------------Week 2--------------------------
FWD
name,total_points,Predicted Total Points
Elijah Adebayo,5,4.556044312141293
Rasmus Højlund,6,4.502724659064643
MID
name,total_points,Predicted Total Points
Bukayo Saka,15,6.435082753893846
Richarlison de Andrade,2,6.10504376792047
Kevin De Bruyne,4,5.678926380565141
Sean Longstaff,2,5.4636476973248636
James Ward-Prowse,2,5.123963780685866
DEF
name,total_points,Predicted Total Points
Joe Gomez,0,3.7333037768331905
Luke Shaw,1,3.6194738548488545
Gabriel Osho,1,3.597854996854998
Tariq Lamptey,2,3.561421083047735
Alexandre Moreno Lopera,1,3.551846755051413
GK
name,total_points,Predicted Total Points
Thomas Kaminski,1,4.50524787959614
Bart Verbruggen,0,4.501911126972308
---------------------Week 25--------------------------
FWD
name,total_points,Predicted Total Points
Rasmus Højlund,13,5.227308410877668
Rodrigo Muniz Carvalho,8,4.927296334379868
Timo Werner,1,4.831527598331662
MID
name,total_points,Predicted Total Points
Bukayo Saka,15,5.785275671205891
Brennan Johnson,1,4.7897494481760425
Martin Ødegaard,14,4.7373157075515575
Diogo Teixeira da Silva,4,4.500566756019831
Gabriel Martinelli Silva,3,4.260290472349993
DEF
name,total_points,Predicted Total Points
Gabriel Osho,0,3.984281163475491
Diogo Dalot Teixeira,2,3.8858305999903733
Jakub Kiwior,9,3.8767558555795136
Harry Maguire,0,3.793050840416015
Andrew Robertson,2,3.7429724174724175
GK
name,total_points,Predicted Total Points
Guglielmo Vicario,3,4.68442994786876
Matz Sels,8,4.488774882634157
---------------------Week 26--------------------------
FWD
name,total_points,Predicted Total Points
Ollie Watkins,9,4.761489899828027
Ivan Toney,2,4.645630467560834
Rodrigo Muniz Carvalho,2,4.456035006493393
MID
name,total_points,Predicted Total Points
Bukayo Saka,10,6.320025737960528
Pascal Groß,7,5.637827268963587
Alejandro Garnacho,2,4.767992983623039
Simon Adingra,2,4.613531816855471
Phil Foden,11,4.6131437578198815
DEF
name,total_points,Predicted Total Points
William Saliba,2,4.6208685481185485
Benjamin White,2,4.5858967883967905
Jakub Kiwior,8,3.7882990407740422
Marcos Senesi,1,3.632572259394471
Ben Mee,1,3.272615867978975
GK
name,total_points,Predicted Total Points
Wes Foderingham,0,5.00803929228268
David Raya Martin,2,4.211126737153901
---------------------Week 27--------------------------
FWD
name,total_points,Predicted Total Points
Erling Haaland,6,5.477518342243481
Julián Álvarez,4,4.485390908159385
Neal Maupay,1,4.099860591378569
MID
name,total_points,Predicted Total Points
Phil Foden,15,6.901443872392458
Jarrod Bowen,5,5.05739640747455
Leon Bailey,4,4.3843236104155485
